db,type,statistic,p.value,padj
encodeTFBS,CBX5,24252,0.00724707914111993,1
encodeTFBS,CCAR2,29546,0.6785208879699589,1
encodeTFBS,CHD7,22671,0.003100472533169961,1
encodeTFBS,CREB1,24663,0.0025917398819057446,1
encodeTFBS,EHMT2,28114,0.5427385544232577,1
encodeTFBS,EWSR1,28995,0.7303341199526707,1
encodeTFBS,FOXK2,25515,0.01737390517120304,1
encodeTFBS,HES1,29476,0.7121496644657372,1
encodeTFBS,HSF1,26238,0.36259828214168327,1
encodeTFBS,IRF5,33437,0.004521193291194116,1
encodeTFBS,KAT2B,26504,0.7303919320702672,1
encodeTFBS,LCORL,32189,0.05368578373073602,1
encodeTFBS,MCM7,33131,0.0031150608889209484,1
encodeTFBS,MYBL2,24913,0.0585625824390541,1
encodeTFBS,NCOA2,29218,0.6232651460721992,1
encodeTFBS,NCOA4,30939,0.041826783095838725,1
encodeTFBS,NFIB,27130,0.2478143932289491,1
encodeTFBS,NFXL1,26294,0.10739839892682351,1
encodeTFBS,NUFIP1,23974,0.030713743271159225,1
encodeTFBS,PAX8,27227,0.4695733135451308,1
encodeTFBS,PCBP2,24335,0.022711439719933082,1
encodeTFBS,RAD51,24703,0.003696989321978303,1
encodeTFBS,RBM15,25438,0.4344898990732907,1
encodeTFBS,SIRT6,25745,0.4440557653944552,1
encodeTFBS,SIX4,26364,0.5258523187508302,1
encodeTFBS,SRSF7,29270,0.07966060451220584,1
encodeTFBS,SUZ12,28335,0.4584364900396959,1
encodeTFBS,TBX3,26371,0.06784003424787206,1
encodeTFBS,THRA,27536,0.6458814979078287,1
encodeTFBS,TRIP13,23723,0.03163695332323905,1
encodeTFBS,XRCC3,29915,0.11909805774223609,1
encodeTFBS,ZBTB5,29817,0.49142665362011884,1
encodeTFBS,ZBTB7B,25827,0.04519406242073629,1
encodeTFBS,ZBTB8A,28359,0.4141025680510769,1
encodeTFBS,ZKSCAN1,28598,0.6305922051813182,1
encodeTFBS,ZMIZ1,26609,0.8617490122641341,1
encodeTFBS,ZNF274,27764,0.9354343738260051,1
encodeTFBS,ZNF280A,23743,0.03273794521325837,1
encodeTFBS,ZNF512B,33290,0.004389648182435898,1
knownGene_RNAs,lncRNA,27764,0.6074840207767112,1
knownGene_RNAs,rRNA_pseudogene,28978,0.17353998908090837,1
knownGene_RNAs,snRNA,32003,0.011336452643437918,1
knownGene_RNAs,transcribed_unprocessed_pseudogene,28809,0.22017811208665447,1
Microsatellite,Microsatellite,28451,0.8394512607750391,1
PolyA,pseudo_polyA,28233.5,0.4044289870087659,1
RBP_eCLiP,DDX51,24205,0.06886374380415754,1
RBP_eCLiP,DKC1,22563,0.0032530333569239815,1
RBP_eCLiP,EXOSC5,22343,0.0018797709729168521,1
RBP_eCLiP,FXR1,22494,0.0027754327642805798,1
RBP_eCLiP,GRSF1,25016,0.20615806265257136,1
RBP_eCLiP,ILF3,31333.5,0.002227146865777611,1
RBP_eCLiP,MTPAP,30098,0.02692477973872255,1
RBP_eCLiP,NIP7,20471,0.015133549812665063,1
RBP_eCLiP,PHF6,24859,0.17016266579416958,1
RBP_eCLiP,PPIL4,26325,0.7874197159030969,1
RBP_eCLiP,SAFB2,27650,0.5909185980476873,1
RBP_eCLiP,SLTM,24303.5,0.07979302518848073,1
RBP_eCLiP,ZC3H11A,24128,0.14368819296173202,1
RBP_eCLiP,ZNF800,27703.5,0.5658466235498014,1
Repeat_Masker,SINE,12213,0.003083548792141324,1
Repeat_Masker,snRNA,19988.5,0.28640107393609515,1
Repeat_Masker,srpRNA,19179.5,0.18319400548902898,1
Repeat_Masker,tRNA,24096,0.006030748627912649,1
