rlregion,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RL31974,151.28221080047572,-0.6949830006444638,0.25423548866217555,-2.7336191508965424,0.006264245407287364,0.008872766464670693
RL31293,51.440340395809784,-1.0009057676277529,0.366217049633833,-2.73309440024303,0.006274234685053891,0.008885633776641075
RL26879,262.66946979203817,0.38774780815404003,0.14189808775719104,2.7325795173331358,0.006284050052974131,0.008898251120433449
RL23725,125.08585015261937,0.5374606263328777,0.19669808068422984,2.7324141875877914,0.0062872047140527364,0.008901434586504883
RL57523,121.17558551982133,-0.5035432746762948,0.18439710379119803,-2.7307547912817642,0.006318946742503168,0.008945085341124565
RL33262,287.64339129291955,0.3823981331215092,0.1400907072131351,2.7296466748485018,0.006340223768567845,0.008973179689247464
RL38638,92.98780528247113,-0.36519344931974834,0.1337888207872001,-2.729626041779772,0.006340620556383723,0.008973179689247464
RL7837,90.66355650076902,-0.6192875282320128,0.22734987381545194,-2.723940496816421,0.006450812752397884,0.009127807093450608
RL42853,184.4625292511764,0.30299835182510965,0.11124451434952423,2.7237149948185784,0.006455218539314116,0.009132725263804153
RL23256,76.751806622101,-0.4295648118085038,0.15774055233749762,-2.723236386857693,0.00646457840179661,0.009144649943192555
RL44306,239.43528631300472,-0.5950105258343557,0.2185164449357207,-2.722955363882958,0.0064700798948620995,0.009151114009440561
RL45241,56.70538964382144,-0.5455784464270012,0.20051740311644914,-2.7208533421418792,0.006511364227302159,0.009208179250015438
RL38240,136.4966658495255,0.33415098808675675,0.12284022893763866,2.720208118924889,0.006524084046709634,0.009224838781668626
RL7586,316.33015063105046,0.3275089330106137,0.12041484395677166,2.719838536918154,0.006531379985673641,0.009233825433244336
RL57627,213.3674850428789,0.5976677968828737,0.21980321162486136,2.719104022478592,0.006545901864910223,0.009253023796375184
RL5878,56.574336570719055,-0.5068424552583151,0.1865416837395147,-2.717046641254004,0.006586732482127957,0.00930940025539674
RL15753,200.5217536461396,0.5754623730662038,0.21181670521353677,2.716794090844102,0.006591760326804502,0.009315165694232295
RL51689,296.2585758541886,0.39891431869966687,0.14685819541157266,2.716323168630137,0.0066011447972372985,0.009327085166743923
RL42927,82.05665418513594,0.4167132453200682,0.15346709331248223,2.7153263694880634,0.006621048506521392,0.009353862226160276
RL39523,51.43020829784705,-0.7115507572012847,0.26210410896836056,-2.714763839460366,0.006632304697504835,0.009368416589398371
RL11276,195.4607736454542,-0.39815905483343544,0.14671788446906042,-2.7137731454776968,0.006652170263347839,0.00939512613060201
RL56593,222.87249170232738,0.48501947622646063,0.17892365705480437,2.710762144090868,0.006712876178914657,0.009478306900244586
RL2369,383.1953334210548,0.46075577272540325,0.16997315054035486,2.7107562062633597,0.006712996384032699,0.009478306900244586
RL5798,102.40973796936107,-0.547619520611161,0.20208125071793476,-2.7098977201775587,0.006730395913975638,0.009501507745146747
RL12802,89.28260416791393,-0.6433130259458628,0.23758796459233755,-2.7076835606958616,0.006775459058553725,0.00956374988572626
RL46483,145.63425231884273,0.4399378317328843,0.16251106338939394,2.7071254261548092,0.006786861063704167,0.009578467324744886
RL5521,688.0714735253677,0.5494446165171772,0.20316387702803354,2.7044404967786777,0.006841952238278228,0.009654831294710764
RL47920,244.96952134538014,0.35553011836567555,0.13155889824391498,2.7024406795085025,0.006883246571574866,0.009711707088055343
